sweep,arm,circuit,seed,min_chan_width,routed_cpd,routed_wl,post_fl_cpd,post_dp_cpd,post_fl_wl,post_dp_wl,num_clb,overfilled_bins,fl_avg_disp,gp_runtime,total_runtime,cong_tightened,cong_exempt,cong_map_enabled
exactfield,base,attention_layer,1,,7.68172,378685,8.92727,8.63027,378872,229096,1215,3,0.649184,59.25,2972.45,,,False
exactfield,base,attention_layer,2,,7.68172,383080,8.92727,8.68966,378872,234220,1215,3,0.649184,59.28,2771.02,,,False
exactfield,base,attention_layer,3,,8.09752,376015,8.92727,8.63027,378872,228204,1215,3,0.649184,59.35,2774.90,,,False
exactfield,base,bnn,1,,7.858,964574,15.9739,7.34968,1.83944e+06,686740,6940,2,10.503331,142.62,5744.30,,,False
exactfield,base,bnn,2,,7.79084,969977,15.9739,7.40632,1.83944e+06,688321,6940,2,10.503331,124.71,5180.08,,,False
exactfield,base,bnn,3,,7.7281,963003,15.9739,7.63702,1.83944e+06,682297,6940,2,10.503331,122.75,5223.78,,,False
exactfield,base,clstm_like.small,1,,6.51452,1249728,11.5151,6.00265,1.72668e+06,1026251,9825,39,5.509552,221.96,7901.51,,,False
exactfield,base,clstm_like.small,2,,7.12611,1251843,11.5151,5.99835,1.72668e+06,1030781,9825,39,5.509552,263.16,8828.58,,,False
exactfield,base,clstm_like.small,3,,7.33611,1237131,11.5151,6.15018,1.72668e+06,1019684,9825,39,5.509552,222.23,8021.29,,,False
exactfield,base,dnnweaver,1,,12.6008,2766146,14.9369,11.6981,3.18533e+06,2019426,6689,67,1.883605,303.47,8539.80,,,False
exactfield,base,lenet,1,,9.05732,193846,13.2877,9.39221,179360,112307,1241,2,2.970708,53.40,515.44,,,False
exactfield,base,lenet,2,,8.76865,195147,13.2877,9.11597,179360,113150,1241,2,2.970708,38.90,513.03,,,False
exactfield,base,lenet,3,,9.00631,194268,13.2877,9.05097,179360,112150,1241,2,2.970708,39.01,556.37,,,False
exactfield,base,softmax,1,,9.32043,119512,11.3433,10.19,102876,73086,516,0,0.797992,17.45,403.65,,,False
exactfield,base,softmax,2,,9.45815,121245,11.3433,10.303,102876,74731,516,0,0.797992,17.44,394.18,,,False
exactfield,base,softmax,3,,9.11903,119459,11.3433,10.2288,102876,72670,516,0,0.797992,17.40,463.88,,,False
exactfield,base,spmv,1,,6.59394,199501,8.16504,6.21285,226652,142944,650,52,3.533831,22.33,906.24,,,False
exactfield,base,spmv,2,,6.5101,196708,8.16504,6.41279,226652,141090,650,52,3.533831,22.32,736.59,,,False
exactfield,base,spmv,3,,6.72559,199221,8.16504,6.39474,226652,140881,650,52,3.533831,22.33,746.90,,,False
exactfield,base,tpu_like.small.os,1,,6.52248,336991,8.7488,6.07164,447760,300908,533,35,3.967289,76.79,2297.28,,,False
exactfield,base,tpu_like.small.os,2,,6.51452,317258,9.7904,5.8277,454742,279576,533,35,4.006371,76.92,2280.83,,,False
exactfield,base,tpu_like.small.os,3,,6.51077,323267,9.5825,6.20194,448521,286906,533,35,3.935421,76.83,2122.56,,,False
exactfield,exact,attention_layer,1,,6.69435,386237,8.26783,7.11402,379987,236271,1220,5,0.664824,89.56,2958.24,,,False
exactfield,exact,attention_layer,2,,6.61669,385629,8.26783,7.17766,379987,234795,1220,5,0.664824,59.14,2765.99,,,False
